datetime,open,high,low,last,evol,macd,signal,histogram
2025-09-04 10:15:00,16.16,16.185,16.1558,16.185,7626,0.0,0.0,0.0
2025-09-04 10:10:00,16.1566,16.16,16.1566,16.16,265,-0.0005608974358999319,-0.0003116096866110733,-0.0002492877492888586
2025-09-04 10:05:00,16.16,16.16,16.1566,16.1566,271,-0.000820128460649272,-0.0005200190202332859,-0.00030010944041598613
2025-09-04 10:00:00,16.155,16.16,16.155,16.16,1398,-0.0007951768411906812,-0.0006132296641890431,-0.00018194717700163808
2025-09-04 09:55:00,16.156,16.156,16.155,16.155,257,-0.0009638395374338415,-0.0007175281747925648,-0.00024631136264127674
2025-09-04 09:50:00,16.165,16.165,16.155,16.156,1006,-0.001004351126720593,-0.0007952731418126956,-0.00020907798490789732
2025-09-04 09:45:00,16.18,16.18,16.162,16.165,678,-0.0006053168388717722,-0.0007472002691113799,0.0001418834302396077
2025-09-04 09:40:00,16.152,16.152,16.152,16.152,42,-0.0009462969198139604,-0.0007950469382885563,-0.00015124998152540403
2025-09-04 09:35:00,16.152,16.152,16.152,16.152,212,-0.0011680209028170907,-0.0008812057744280273,-0.00028681512838906343
2025-09-04 09:30:00,16.18,16.22,16.155,16.16,134,-0.0008962378168497764,-0.0008845738245393642,-1.1663992310412198e-05
2025-09-04 08:55:00,16.16,16.16,16.16,16.16,20,-0.0006872740467542826,-0.0008414057605183064,0.00015413171376402375
2025-09-04 08:00:00,16.16,16.16,16.16,16.16,2,-0.000524722053068416,-0.000773395381359949,0.000248673328291533
2025-09-03 17:10:00,16.1599,16.1599,16.1599,16.1599,3,-0.0004028572554624077,-0.0006949766402988279,0.0002921193848364202
2025-09-03 16:20:00,16.16,16.16,16.1599,16.1599,104,-0.0003064075560104129,-0.0006136876979481789,0.00030728014193776596
2025-09-03 16:10:00,16.16,16.16,16.16,16.16,2,-0.00022382635962614472,-0.0005328719799925967,0.000309045620366452
2025-09-03 16:00:00,16.13,16.16,16.13,16.16,5,-0.0001583510039360192,-0.00045579835510423545,0.00029744735116821625
2025-09-03 15:55:00,16.14,16.15,16.13,16.13,1594,-0.0019629883405585247,-0.0007641805007767863,-0.0011988078397817384
2025-09-03 15:50:00,16.135,16.14,16.135,16.14,1202,-0.0026904521003885407,-0.0011565022612359907,-0.00153394983915255
2025-09-03 15:45:00,16.1399,16.1399,16.135,16.135,615,-0.00353753441821425,-0.0016396719009820978,-0.001897862517232152
