datetime_us,datetime_kr,open,high,low,last,evol,us_time,kr_time,macd,signal,histogram
2025-09-04 10:20:00-04:00,2025-09-04 23:20:00+09:00,16.185,16.185,16.15,16.1501,4412,2025-09-04 10:20:00,2025-09-04 23:20:00,0.0,0.0,0.0
2025-09-04 10:15:00-04:00,2025-09-04 23:15:00+09:00,16.16,16.22,16.1558,16.1998,8084,2025-09-04 10:15:00,2025-09-04 23:15:00,0.0011150641025636787,0.0006194800569798215,0.0004955840455838572
2025-09-04 10:10:00-04:00,2025-09-04 23:10:00+09:00,16.1566,16.16,16.1566,16.16,265,2025-09-04 10:10:00,2025-09-04 23:10:00,0.00018661737371061804,0.0004420773179350659,-0.00025545994422444785
2025-09-04 10:05:00-04:00,2025-09-04 23:05:00+09:00,16.16,16.16,16.1566,16.1566,271,2025-09-04 10:05:00,2025-09-04 23:05:00,-0.0003629876225588191,0.0001693588421580046,-0.0005323464647168237
2025-09-04 10:00:00-04:00,2025-09-04 23:00:00+09:00,16.155,16.16,16.155,16.16,1398,2025-09-04 10:00:00,2025-09-04 23:00:00,-0.0005186991287224885,-3.53228483704619e-05,-0.0004833762803520266
2025-09-04 09:55:00-04:00,2025-09-04 22:55:00+09:00,16.156,16.156,16.155,16.155,257,2025-09-04 09:55:00,2025-09-04 22:55:00,-0.000816355969302407,-0.0002470262487445037,-0.0005693297205579032
2025-09-04 09:50:00-04:00,2025-09-04 22:50:00+09:00,16.165,16.165,16.155,16.156,1006,2025-09-04 09:50:00,2025-09-04 22:50:00,-0.0009478830683740114,-0.00042439441263415653,-0.0005234886557398549
2025-09-04 09:45:00-04:00,2025-09-04 22:45:00+09:00,16.18,16.18,16.162,16.165,678,2025-09-04 09:45:00,2025-09-04 22:45:00,-0.000592797048845739,-0.00046486473292807565,-0.00012793231591766337
2025-09-04 09:40:00-04:00,2025-09-04 22:40:00+09:00,16.152,16.152,16.152,16.152,42,2025-09-04 09:40:00,2025-09-04 22:40:00,-0.0009828643177378638,-0.0005845252068283286,-0.0003983391109095352
2025-09-04 09:35:00-04:00,2025-09-04 22:35:00+09:00,16.152,16.152,16.152,16.152,212,2025-09-04 09:35:00,2025-09-04 22:35:00,-0.001245268012656453,-0.0007325699514010683,-0.0005126980612553848
2025-09-04 09:30:00-04:00,2025-09-04 22:30:00+09:00,16.18,16.22,16.155,16.16,134,2025-09-04 09:30:00,2025-09-04 22:30:00,-0.000991216653627447,-0.0007891603719574772,-0.00020205628166996973
2025-09-04 08:55:00-04:00,2025-09-04 21:55:00+09:00,16.16,16.16,16.16,16.16,20,2025-09-04 08:55:00,2025-09-04 21:55:00,-0.0007914736197385253,-0.0007896571605669802,-1.8164591715450493e-06
2025-09-04 08:00:00-04:00,2025-09-04 21:00:00+09:00,16.16,16.16,16.16,16.16,2,2025-09-04 08:00:00,2025-09-04 21:00:00,-0.0006328395534254128,-0.0007564691065753119,0.00012362955314989914
2025-09-03 17:10:00-04:00,2025-09-04 06:10:00+09:00,16.1599,16.1599,16.1599,16.1599,3,2025-09-03 17:10:00,2025-09-04 06:10:00,-0.000511676193568178,-0.0007052582465303723,0.0001935820529621944
2025-09-03 16:20:00-04:00,2025-09-04 05:20:00+09:00,16.16,16.16,16.1599,16.1599,104,2025-09-03 16:20:00,2025-09-04 05:20:00,-0.0004137723119335135,-0.0006448351094740359,0.00023106279754052242
2025-09-03 16:10:00-04:00,2025-09-04 05:10:00+09:00,16.16,16.16,16.16,16.16,2,2025-09-03 16:10:00,2025-09-04 05:10:00,-0.0003282178163921401,-0.0005796776308806983,0.0002514598144885582
2025-09-03 16:00:00-04:00,2025-09-04 05:00:00+09:00,16.13,16.16,16.13,16.16,5,2025-09-03 16:00:00,2025-09-04 05:00:00,-0.00025889743074714033,-0.0005140436448794974,0.00025514621413235707
2025-09-03 15:55:00-04:00,2025-09-04 04:55:00+09:00,16.14,16.15,16.13,16.13,1594,2025-09-03 15:55:00,2025-09-04 04:55:00,-0.002094126816125197,-0.0008358575633009798,-0.001258269252824217
2025-09-03 15:50:00-04:00,2025-09-04 04:50:00+09:00,16.135,16.14,16.135,16.14,1202,2025-09-03 15:50:00,2025-09-04 04:50:00,-0.002837558594229961,-0.0012420516431074365,-0.0015955069511225243
2025-09-03 15:45:00-04:00,2025-09-04 04:45:00+09:00,16.1399,16.1399,16.135,16.135,615,2025-09-03 15:45:00,2025-09-04 04:45:00,-0.003702236797231251,-0.0017398276404503364,-0.0019624091567809147
2025-09-03 15:40:00-04:00,2025-09-04 04:40:00+09:00,16.13,16.14,16.13,16.1399,802,2025-09-03 15:40:00,2025-09-04 04:40:00,-0.004001757364868297,-0.002196424952211328,-0.0018053324126569691
2025-09-03 15:35:00-04:00,2025-09-04 04:35:00+09:00,16.11,16.15,16.11,16.135,580,2025-09-03 15:35:00,2025-09-04 04:35:00,-0.0045146407470539884,-0.0026635146246385554,-0.001851126122415433
