datetime_us,datetime_kr,open,high,low,last,evol,us_time,kr_time,macd,signal,histogram
2025-09-04 10:30:00-04:00,2025-09-04 23:30:00+09:00,16.18,16.18,16.18,16.18,5,2025-09-04 10:30:00,2025-09-04 23:30:00,,,
2025-09-04 10:25:00-04:00,2025-09-04 23:25:00+09:00,16.1714,16.18,16.15,16.18,1390,2025-09-04 10:25:00,2025-09-04 23:25:00,,,
2025-09-04 10:20:00-04:00,2025-09-04 23:20:00+09:00,16.185,16.185,16.15,16.1501,4442,2025-09-04 10:20:00,2025-09-04 23:20:00,,,
2025-09-04 10:15:00-04:00,2025-09-04 23:15:00+09:00,16.16,16.22,16.1558,16.1998,8084,2025-09-04 10:15:00,2025-09-04 23:15:00,,,
2025-09-04 10:10:00-04:00,2025-09-04 23:10:00+09:00,16.1566,16.16,16.1566,16.16,265,2025-09-04 10:10:00,2025-09-04 23:10:00,,,
2025-09-04 10:05:00-04:00,2025-09-04 23:05:00+09:00,16.16,16.16,16.1566,16.1566,271,2025-09-04 10:05:00,2025-09-04 23:05:00,,,
2025-09-04 10:00:00-04:00,2025-09-04 23:00:00+09:00,16.155,16.16,16.155,16.16,1398,2025-09-04 10:00:00,2025-09-04 23:00:00,,,
2025-09-04 09:55:00-04:00,2025-09-04 22:55:00+09:00,16.156,16.156,16.155,16.155,257,2025-09-04 09:55:00,2025-09-04 22:55:00,,,
2025-09-04 09:50:00-04:00,2025-09-04 22:50:00+09:00,16.165,16.165,16.155,16.156,1006,2025-09-04 09:50:00,2025-09-04 22:50:00,,,
2025-09-04 09:45:00-04:00,2025-09-04 22:45:00+09:00,16.18,16.18,16.162,16.165,678,2025-09-04 09:45:00,2025-09-04 22:45:00,,,
2025-09-04 09:40:00-04:00,2025-09-04 22:40:00+09:00,16.152,16.152,16.152,16.152,42,2025-09-04 09:40:00,2025-09-04 22:40:00,,,
2025-09-04 09:35:00-04:00,2025-09-04 22:35:00+09:00,16.152,16.152,16.152,16.152,212,2025-09-04 09:35:00,2025-09-04 22:35:00,,,
2025-09-04 09:30:00-04:00,2025-09-04 22:30:00+09:00,16.18,16.22,16.155,16.16,134,2025-09-04 09:30:00,2025-09-04 22:30:00,,,
2025-09-04 08:55:00-04:00,2025-09-04 21:55:00+09:00,16.16,16.16,16.16,16.16,20,2025-09-04 08:55:00,2025-09-04 21:55:00,,,
2025-09-04 08:00:00-04:00,2025-09-04 21:00:00+09:00,16.16,16.16,16.16,16.16,2,2025-09-04 08:00:00,2025-09-04 21:00:00,,,
2025-09-03 17:10:00-04:00,2025-09-04 06:10:00+09:00,16.1599,16.1599,16.1599,16.1599,3,2025-09-03 17:10:00,2025-09-04 06:10:00,,,
2025-09-03 16:20:00-04:00,2025-09-04 05:20:00+09:00,16.16,16.16,16.1599,16.1599,104,2025-09-03 16:20:00,2025-09-04 05:20:00,,,
2025-09-03 16:10:00-04:00,2025-09-04 05:10:00+09:00,16.16,16.16,16.16,16.16,2,2025-09-03 16:10:00,2025-09-04 05:10:00,,,
2025-09-03 16:00:00-04:00,2025-09-04 05:00:00+09:00,16.13,16.16,16.13,16.16,5,2025-09-03 16:00:00,2025-09-04 05:00:00,,,
2025-09-03 15:55:00-04:00,2025-09-04 04:55:00+09:00,16.14,16.15,16.13,16.13,1594,2025-09-03 15:55:00,2025-09-04 04:55:00,,,
2025-09-03 15:50:00-04:00,2025-09-04 04:50:00+09:00,16.135,16.14,16.135,16.14,1202,2025-09-03 15:50:00,2025-09-04 04:50:00,,,
2025-09-03 15:45:00-04:00,2025-09-04 04:45:00+09:00,16.1399,16.1399,16.135,16.135,615,2025-09-03 15:45:00,2025-09-04 04:45:00,,,
2025-09-03 15:40:00-04:00,2025-09-04 04:40:00+09:00,16.13,16.14,16.13,16.1399,802,2025-09-03 15:40:00,2025-09-04 04:40:00,,,
2025-09-03 15:35:00-04:00,2025-09-04 04:35:00+09:00,16.11,16.15,16.11,16.135,580,2025-09-03 15:35:00,2025-09-04 04:35:00,,,
2025-09-03 15:30:00-04:00,2025-09-04 04:30:00+09:00,16.13,16.146,16.11,16.11,1223,2025-09-03 15:30:00,2025-09-04 04:30:00,,,
2025-09-03 15:25:00-04:00,2025-09-04 04:25:00+09:00,16.146,16.146,16.13,16.13,200,2025-09-03 15:25:00,2025-09-04 04:25:00,-0.011397037803039467,,
2025-09-03 15:20:00-04:00,2025-09-04 04:20:00+09:00,16.14,16.146,16.1316,16.146,2101,2025-09-03 15:20:00,2025-09-04 04:20:00,-0.010031817953219502,,
2025-09-03 15:15:00-04:00,2025-09-04 04:15:00+09:00,16.125,16.14,16.1235,16.14,330,2025-09-03 15:15:00,2025-09-04 04:15:00,-0.009326511028682205,,
2025-09-03 15:10:00-04:00,2025-09-04 04:10:00+09:00,16.125,16.1398,16.125,16.1392,2500,2025-09-03 15:10:00,2025-09-04 04:10:00,-0.008731452771236548,,
2025-09-03 15:05:00-04:00,2025-09-04 04:05:00+09:00,16.125,16.125,16.125,16.125,100,2025-09-03 15:05:00,2025-09-04 04:05:00,-0.00929849883425149,,
2025-09-03 15:00:00-04:00,2025-09-04 04:00:00+09:00,16.13,16.13,16.125,16.125,222,2025-09-03 15:00:00,2025-09-04 04:00:00,-0.00963679989405719,,
2025-09-03 14:55:00-04:00,2025-09-04 03:55:00+09:00,16.15,16.15,16.13,16.13,140,2025-09-03 14:55:00,2025-09-04 03:55:00,-0.009393169101663545,,
2025-09-03 14:50:00-04:00,2025-09-04 03:50:00+09:00,16.11,16.15,16.11,16.15,390,2025-09-03 14:50:00,2025-09-04 03:50:00,-0.007499804018145539,,
2025-09-03 14:45:00-04:00,2025-09-04 03:45:00+09:00,16.12,16.12,16.11,16.11,1023,2025-09-03 14:45:00,2025-09-04 03:45:00,-0.009121813664755507,-0.009369271216259183,0.0002474575515036756
